	Paralogs
2321	XP_006000844.1
2322	XP_006000846.1
2323	XP_006000848.2
2324	XP_006000852.1
2325	XP_006000853.2
2326	XP_006000858.1
2327	XP_006000867.1
2328	XP_006000882.1
2329	XP_006000883.1
2330	XP_006000885.1
2331	XP_006000892.1
2332	XP_006000905.1
2333	XP_006000906.1
2334	XP_006000911.1
2335	XP_006000913.1
2336	XP_006000918.2
2337	XP_006000926.1
2338	XP_006000930.2
2339	XP_006000931.1
2340	XP_006000934.1
2341	XP_006000935.1
2342	XP_006000955.1
2343	XP_006000958.1
2344	XP_006000967.1
2345	XP_006000976.1
2346	XP_006000982.1
2347	XP_006000985.1
2348	XP_006000994.1
2349	XP_006001006.1
2350	XP_006001007.1
2351	XP_006001031.1
2352	XP_006001033.1
2353	XP_006001034.1
2354	XP_006001035.1
2355	XP_006001036.1
2356	XP_006001039.1
2357	XP_006001049.1
2358	XP_006001050.1
2359	XP_006001075.1
2360	XP_006001078.1
2361	XP_006001082.1
2362	XP_006001094.1
2363	XP_006001098.1
2364	XP_006001117.1
2365	XP_006001118.1
2366	XP_006001159.1
2367	XP_006001162.1
2368	XP_006001166.1
2369	XP_006001169.1
2370	XP_006001174.1
2371	XP_006001178.1
2372	XP_006001194.1
2373	XP_006001196.1
2374	XP_006001199.1
2375	XP_006001200.1
2376	XP_006001202.2
2377	XP_006001203.2
2378	XP_006001220.2
2379	XP_006001242.1
2380	XP_006001248.1
2381	XP_006001253.1
2382	XP_006001265.1
2383	XP_006001281.1
2384	XP_006001283.1
2385	XP_006001287.1
2386	XP_006001289.1
2387	XP_006001293.1
2388	XP_006001320.2
2389	XP_006001326.1
2390	XP_006001339.1
2391	XP_006001342.1
2392	XP_006001350.1
2393	XP_006001357.1
2394	XP_006001358.1
2395	XP_006001369.1
2396	XP_006001375.2
2397	XP_006001390.1
2398	XP_006001391.1
2399	XP_006001394.1
2400	XP_006001396.1
2401	XP_006001397.1
2402	XP_006001398.1
2403	XP_006001418.1
2404	XP_006001426.1
2405	XP_006001428.1
2406	XP_006001430.1
2407	XP_006001431.1
2408	XP_006001437.1
2409	XP_006001438.1
2410	XP_006001447.2
2411	XP_006001449.1
2412	XP_006001458.1
2413	XP_006001474.1
2414	XP_006001475.1
2415	XP_006001483.1
2416	XP_006001486.1
2417	XP_006001488.1
2418	XP_006001495.1
2419	XP_006001497.1
2420	XP_006001507.1
2421	XP_006001513.1
2422	XP_006001521.1
2423	XP_006001525.1
2424	XP_006001531.1
2425	XP_006001534.1
2426	XP_006001538.1
2427	XP_006001548.1
2428	XP_006001551.1
2429	XP_006001557.1
2430	XP_006001569.1
2431	XP_006001582.2
2432	XP_006001590.1
2433	XP_006001598.1
2434	XP_006001601.1
2435	XP_006001602.1
2436	XP_006001603.1
2437	XP_006001647.1
2438	XP_006001654.1
2439	XP_006001676.1
2440	XP_006001677.1
2441	XP_006001680.1
2442	XP_006001681.1
2443	XP_006001685.1
2444	XP_006001687.1
2445	XP_006001689.1
2446	XP_006001692.1
2447	XP_006001701.1
2448	XP_006001718.1
2449	XP_006001730.1
2450	XP_006001739.1
2451	XP_006001744.1
2452	XP_006001759.1
2453	XP_006001766.1
2454	XP_006001767.1
2455	XP_006001769.1
2456	XP_006001770.1
2457	XP_006001774.1
2458	XP_006001778.1
2459	XP_006001798.2
2460	XP_006001800.1
2461	XP_006001803.1
2462	XP_006001833.1
2463	XP_006001834.1
2464	XP_006001836.1
2465	XP_006001839.1
2466	XP_006001846.1
2467	XP_006001847.1
2468	XP_006001855.1
2469	XP_006001858.1
2470	XP_006001868.1
2471	XP_006001898.1
2472	XP_006001902.1
2473	XP_006001911.1
2474	XP_006001917.1
2475	XP_006001920.1
2476	XP_006001921.1
2477	XP_006001923.1
2478	XP_006001934.1
2479	XP_006001936.1
2480	XP_006001942.1
2481	XP_006001952.1
2482	XP_006001956.2
2483	XP_006001957.1
2484	XP_006001961.1
2485	XP_006001962.1
2486	XP_006001968.1
2487	XP_006001970.1
2488	XP_006001974.1
2489	XP_006001978.1
2490	XP_006001985.1
2491	XP_006001986.1
2492	XP_006001999.1
2493	XP_006002002.1
2494	XP_006002003.1
2495	XP_006002007.1
2496	XP_006002008.1
2497	XP_006002010.1
2498	XP_006002012.1
2499	XP_006002013.1
2500	XP_006002016.1
2501	XP_006002024.1
2502	XP_006002037.2
2503	XP_006002040.1
2504	XP_006002041.1
2505	XP_006002044.1
2506	XP_006002058.1
2507	XP_006002061.1
2508	XP_006002065.1
2509	XP_006002067.1
2510	XP_006002069.1
2511	XP_006002073.1
2512	XP_006002079.1
2513	XP_006002080.1
2514	XP_006002081.2
2515	XP_006002085.1
2516	XP_006002086.1
2517	XP_006002091.1
2518	XP_006002095.1
2519	XP_006002098.1
2520	XP_006002102.1
2521	XP_006002107.1
2522	XP_006002113.2
2523	XP_006002114.1
2524	XP_006002126.1
2525	XP_006002130.1
2526	XP_006002132.1
2527	XP_006002133.1
2528	XP_006002136.1
2529	XP_006002139.1
2530	XP_006002140.1
2531	XP_006002154.1
2532	XP_006002161.1
2533	XP_006002164.1
2534	XP_006002175.1
2535	XP_006002178.1
2536	XP_006002183.1
2537	XP_006002187.1
2538	XP_006002188.1
2539	XP_006002199.1
2540	XP_006002207.2
2541	XP_006002211.1
2542	XP_006002221.1
2543	XP_006002222.2
2544	XP_006002223.1
2545	XP_006002229.1
2546	XP_006002237.1
2547	XP_006002242.1
2548	XP_006002245.1
2549	XP_006002264.1
2550	XP_006002266.1
2551	XP_006002299.1
2552	XP_006002302.1
2553	XP_006002317.1
2554	XP_006002321.1
2555	XP_006002326.1
2556	XP_006002335.1
2557	XP_006002336.1
2558	XP_006002337.1
2559	XP_006002352.1
2560	XP_006002354.1
2561	XP_006002357.1
2562	XP_006002364.1
2563	XP_006002376.1
2564	XP_006002381.1
2565	XP_006002384.1
2566	XP_006002387.1
2567	XP_006002400.1
2568	XP_006002425.1
2569	XP_006002431.1
2570	XP_006002433.1
2571	XP_006002434.1
2572	XP_006002436.1
2573	XP_006002441.1
2574	XP_006002456.1
2575	XP_006002458.1
2576	XP_006002459.1
2577	XP_006002463.1
2578	XP_006002464.1
2579	XP_006002475.2
2580	XP_006002487.1
2581	XP_006002498.1
2582	XP_006002507.1
2583	XP_006002512.1
2584	XP_006002515.1
2585	XP_006002538.1
2586	XP_006002556.1
2587	XP_006002570.1
2588	XP_006002575.2
2589	XP_006002592.2
2590	XP_006002593.1
2591	XP_006002595.1
2592	XP_006002608.1
2593	XP_006002611.1
2594	XP_006002621.1
2595	XP_006002637.1
2596	XP_006002650.1
2597	XP_006002660.1
2598	XP_006002669.1
2599	XP_006002675.1
2600	XP_006002676.1
2601	XP_006002677.1
2602	XP_006002680.1
2603	XP_006002685.1
2604	XP_006002689.2
2605	XP_006002693.1
2606	XP_006002695.1
2607	XP_006002698.1
2608	XP_006002700.1
2609	XP_006002704.1
2610	XP_006002716.1
2611	XP_006002729.1
2612	XP_006002731.1
2613	XP_006002735.1
2614	XP_006002750.1
2615	XP_006002752.1
2616	XP_006002766.1
2617	XP_006002770.2
2618	XP_006002785.1
2619	XP_006002793.1
2620	XP_006002796.1
2621	XP_006002797.1
2622	XP_006002799.1
2623	XP_006002800.1
2624	XP_006002805.1
2625	XP_006002806.2
2626	XP_006002812.1
2627	XP_006002814.1
2628	XP_006002822.1
2629	XP_006002835.1
2630	XP_006002838.1
2631	XP_006002842.1
2632	XP_006002847.1
2633	XP_006002848.1
2634	XP_006002856.1
2635	XP_006002865.1
2636	XP_006002867.1
2637	XP_006002869.1
2638	XP_006002874.1
2639	XP_006002885.2
2640	XP_006002897.1
2641	XP_006002899.1
2642	XP_006002907.1
2643	XP_006002912.1
2644	XP_006002914.1
2645	XP_006002915.1
2646	XP_006002927.1
2647	XP_006002930.1
2648	XP_006002935.1
2649	XP_006002942.1
2650	XP_006002949.1
2651	XP_006002954.1
2652	XP_006002967.1
2653	XP_006002971.1
2654	XP_006002979.1
2655	XP_006002981.1
2656	XP_006003002.1
2657	XP_006003008.1
2658	XP_006003017.1
2659	XP_006003022.1
2660	XP_006003026.1
2661	XP_006003033.1
2662	XP_006003035.1
2663	XP_006003062.2
2664	XP_006003065.1
2665	XP_006003091.1
2666	XP_006003097.1
2667	XP_006003098.1
2668	XP_006003099.1
2669	XP_006003105.1
2670	XP_006003125.1
2671	XP_006003131.1
2672	XP_006003133.1
2673	XP_006003136.1
2674	XP_006003137.1
2675	XP_006003142.1
2676	XP_006003150.1
2677	XP_006003152.2
2678	XP_006003155.1
2679	XP_006003163.1
2680	XP_006003168.1
2681	XP_006003173.1
2682	XP_006003176.1
2683	XP_006003190.1
2684	XP_006003193.1
2685	XP_006003198.1
2686	XP_006003200.1
2687	XP_006003201.1
2688	XP_006003203.1
2689	XP_006003216.1
2690	XP_006003223.1
2691	XP_006003235.1
2692	XP_006003248.1
2693	XP_006003256.1
2694	XP_006003260.1
2695	XP_006003264.1
2696	XP_006003275.1
2697	XP_006003278.2
2698	XP_006003294.1
2699	XP_006003299.2
2700	XP_006003317.1
2701	XP_006003328.1
2702	XP_006003330.1
2703	XP_006003340.1
2704	XP_006003341.1
2705	XP_006003346.1
2706	XP_006003350.1
2707	XP_006003353.1
2708	XP_006003357.1
2709	XP_006003364.2
2710	XP_006003365.2
2711	XP_006003374.1
2712	XP_006003375.1
2713	XP_006003387.1
2714	XP_006003390.1
2715	XP_006003391.1
2716	XP_006003394.1
2717	XP_006003397.1
2718	XP_006003398.1
2719	XP_006003400.1
2720	XP_006003404.1
2721	XP_006003405.1
2722	XP_006003409.1
2723	XP_006003410.1
2724	XP_006003415.1
2725	XP_006003434.1
2726	XP_006003443.1
2727	XP_006003445.1
2728	XP_006003450.1
2729	XP_006003451.1
2730	XP_006003455.1
2731	XP_006003460.1
2732	XP_006003473.1
2733	XP_006003479.1
2734	XP_006003485.1
2735	XP_006003488.1
2736	XP_006003492.1
2737	XP_006003498.1
2738	XP_006003499.1
2739	XP_006003505.1
2740	XP_006003510.1
2741	XP_006003513.2
2742	XP_006003532.1
2743	XP_006003534.1
2744	XP_006003552.1
2745	XP_006003557.1
2746	XP_006003581.1
2747	XP_006003587.1
2748	XP_006003595.1
2749	XP_006003597.1
2750	XP_006003604.1
2751	XP_006003612.2
2752	XP_006003631.1
2753	XP_006003633.2
2754	XP_006003641.1
2755	XP_006003647.1
2756	XP_006003649.2
2757	XP_006003663.1
2758	XP_006003669.1
2759	XP_006003680.1
2760	XP_006003702.1
2761	XP_006003711.1
2762	XP_006003716.1
2763	XP_006003736.1
2764	XP_006003738.1
2765	XP_006003739.1
2766	XP_006003767.1
2767	XP_006003773.1
2768	XP_006003777.1
2769	XP_006003779.1
2770	XP_006003800.1
2771	XP_006003819.1
2772	XP_006003823.1
2773	XP_006003859.1
2774	XP_006003867.1
2775	XP_006003872.1
2776	XP_006003891.1
2777	XP_006003909.1
2778	XP_006003910.1
2779	XP_006003918.1
2780	XP_006003921.1
2781	XP_006003924.1
2782	XP_006003925.1
2783	XP_006003935.1
2784	XP_006003947.1
2785	XP_006003957.1
2786	XP_006003960.1
2787	XP_006003961.1
2788	XP_006003965.1
2789	XP_006003983.1
2790	XP_006003984.1
2791	XP_006003985.1
2792	XP_006003986.1
2793	XP_006003998.1
2794	XP_006004002.1
2795	XP_006004009.1
2796	XP_006004010.1
2797	XP_006004013.1
2798	XP_006004037.1
2799	XP_006004048.1
2800	XP_006004061.1
2801	XP_006004076.1
2802	XP_006004081.1
2803	XP_006004085.1
2804	XP_006004087.1
2805	XP_006004091.1
2806	XP_006004092.1
2807	XP_006004104.1
2808	XP_006004110.1
2809	XP_006004115.1
2810	XP_006004133.1
2811	XP_006004137.1
2812	XP_006004143.1
2813	XP_006004155.2
2814	XP_006004161.2
2815	XP_006004163.1
2816	XP_006004164.1
2817	XP_006004177.1
2818	XP_006004183.1
2819	XP_006004188.1
2820	XP_006004190.1
2821	XP_006004200.1
2822	XP_006004205.1
2823	XP_006004207.1
2824	XP_006004210.1
2825	XP_006004211.1
2826	XP_006004236.1
2827	XP_006004250.1
2828	XP_006004263.1
2829	XP_006004272.1
2830	XP_006004281.1
2831	XP_006004295.1
2832	XP_006004298.1
2833	XP_006004305.1
2834	XP_006004312.1
2835	XP_006004319.1
2836	XP_006004322.2
2837	XP_006004323.1
2838	XP_006004325.1
2839	XP_006004327.1
2840	XP_006004333.1
2841	XP_006004335.1
2842	XP_006004337.1
2843	XP_006004338.1
2844	XP_006004339.1
2845	XP_006004345.1
2846	XP_006004351.1
2847	XP_006004354.1
2848	XP_006004355.1
2849	XP_006004386.1
2850	XP_006004390.1
2851	XP_006004411.1
2852	XP_006004417.1
2853	XP_006004421.1
2854	XP_006004436.1
2855	XP_006004441.1
2856	XP_006004445.1
2857	XP_006004447.1
2858	XP_006004455.1
2859	XP_006004462.1
2860	XP_006004467.1
2861	XP_006004471.1
2862	XP_006004473.1
2863	XP_006004481.1
2864	XP_006004483.1
2865	XP_006004493.1
2866	XP_006004498.1
2867	XP_006004514.1
2868	XP_006004556.1
2869	XP_006004564.1
2870	XP_006004570.1
2871	XP_006004573.1
2872	XP_006004574.1
2873	XP_006004577.1
2874	XP_006004580.1
2875	XP_006004584.1
2876	XP_006004587.1
2877	XP_006004594.1
2878	XP_006004611.1
2879	XP_006004614.1
2880	XP_006004617.1
2881	XP_006004623.1
2882	XP_006004627.1
2883	XP_006004648.1
2884	XP_006004649.1
2885	XP_006004650.1
2886	XP_006004660.1
2887	XP_006004665.2
2888	XP_006004669.1
2889	XP_006004671.1
2890	XP_006004681.1
2891	XP_006004689.1
2892	XP_006004690.2
2893	XP_006004695.1
2894	XP_006004697.1
2895	XP_006004698.1
2896	XP_006004699.1
2897	XP_006004705.1
2898	XP_006004707.2
2899	XP_006004719.1
2900	XP_006004721.1
2901	XP_006004727.1
2902	XP_006004728.1
2903	XP_006004729.1
2904	XP_006004730.1
2905	XP_006004731.1
2906	XP_006004734.1
2907	XP_006004742.1
2908	XP_006004755.1
2909	XP_006004756.1
2910	XP_006004766.1
2911	XP_006004778.1
2912	XP_006004780.1
2913	XP_006004792.2
2914	XP_006004795.1
2915	XP_006004806.1
2916	XP_006004808.1
2917	XP_006004809.2
2918	XP_006004815.1
2919	XP_006004817.1
2920	XP_006004826.1
2921	XP_006004835.1
2922	XP_006004838.1
2923	XP_006004846.1
2924	XP_006004848.1
2925	XP_006004851.1
2926	XP_006004863.1
2927	XP_006004865.1
2928	XP_006004878.1
2929	XP_006004880.1
2930	XP_006004881.1
2931	XP_006004887.1
2932	XP_006004895.1
2933	XP_006004910.2
2934	XP_006004912.1
2935	XP_006004917.1
2936	XP_006004923.1
2937	XP_006004932.1
2938	XP_006004934.1
2939	XP_006004935.1
2940	XP_006004952.2
2941	XP_006004970.1
2942	XP_006004973.1
2943	XP_006004975.1
2944	XP_006004984.1
2945	XP_006004990.1
2946	XP_006004993.1
2947	XP_006005033.1
2948	XP_006005048.2
2949	XP_006005049.2
2950	XP_006005056.1
2951	XP_006005058.1
2952	XP_006005060.1
2953	XP_006005062.1
2954	XP_006005065.1
2955	XP_006005072.1
2956	XP_006005074.1
2957	XP_006005084.1
2958	XP_006005085.1
2959	XP_006005087.1
2960	XP_006005090.1
2961	XP_006005098.1
2962	XP_006005101.1
2963	XP_006005106.1
2964	XP_006005107.1
2965	XP_006005108.2
2966	XP_006005114.1
2967	XP_006005125.1
2968	XP_006005126.1
2969	XP_006005150.1
2970	XP_006005162.1
2971	XP_006005170.1
2972	XP_006005174.1
2973	XP_006005186.1
2974	XP_006005191.1
2975	XP_006005195.1
2976	XP_006005196.1
2977	XP_006005223.1
2978	XP_006005248.1
2979	XP_006005251.1
2980	XP_006005255.1
2981	XP_006005267.1
2982	XP_006005270.1
2983	XP_006005274.1
2984	XP_006005276.1
2985	XP_006005282.1
2986	XP_006005297.1
2987	XP_006005301.1
2988	XP_006005316.1
2989	XP_006005319.1
2990	XP_006005324.1
2991	XP_006005325.1
2992	XP_006005338.1
2993	XP_006005344.1
2994	XP_006005347.1
2995	XP_006005354.1
2996	XP_006005356.1
2997	XP_006005360.1
2998	XP_006005387.1
2999	XP_006005407.1
3000	XP_006005417.1
3001	XP_006005429.2
3002	XP_006005447.1
3003	XP_006005451.1
3004	XP_006005470.1
3005	XP_006005472.1
3006	XP_006005474.1
3007	XP_006005489.1
3008	XP_006005497.1
3009	XP_006005499.2
3010	XP_006005501.1
3011	XP_006005510.1
3012	XP_006005513.1
3013	XP_006005542.1
3014	XP_006005545.1
3015	XP_006005554.1
3016	XP_006005556.1
3017	XP_006005565.1
3018	XP_006005570.1
3019	XP_006005582.1
3020	XP_006005585.1
3021	XP_006005586.1
3022	XP_006005616.1
3023	XP_006005617.1
3024	XP_006005620.1
3025	XP_006005624.1
3026	XP_006005627.1
3027	XP_006005641.1
3028	XP_006005660.1
3029	XP_006005661.1
3030	XP_006005664.1
3031	XP_006005671.1
3032	XP_006005672.1
3033	XP_006005682.1
3034	XP_006005690.1
3035	XP_006005699.1
3036	XP_006005710.1
3037	XP_006005730.1
3038	XP_006005731.1
3039	XP_006005738.2
3040	XP_006005759.1
3041	XP_006005770.1
3042	XP_006005779.1
3043	XP_006005780.1
3044	XP_006005806.1
3045	XP_006005820.1
3046	XP_006005823.1
3047	XP_006005829.1
3048	XP_006005836.1
3049	XP_006005850.1
3050	XP_006005852.2
3051	XP_006005858.1
3052	XP_006005859.2
3053	XP_006005883.1
3054	XP_006005887.1
3055	XP_006005890.1
3056	XP_006005911.1
3057	XP_006005916.1
3058	XP_006005927.1
3059	XP_006005938.1
3060	XP_006005944.1
3061	XP_006005946.1
3062	XP_006005947.1
3063	XP_006005950.2
3064	XP_006005964.1
3065	XP_006005966.1
3066	XP_006005967.1
3067	XP_006005969.2
3068	XP_006005973.1
3069	XP_006005976.1
3070	XP_006005978.1
3071	XP_006005980.1
3072	XP_006005987.2
3073	XP_006006017.1
3074	XP_006006020.1
3075	XP_006006026.2
3076	XP_006006031.1
3077	XP_006006039.1
3078	XP_006006074.1
3079	XP_006006075.1
3080	XP_006006076.1
3081	XP_006006084.1
3082	XP_006006091.1
3083	XP_006006108.1
3084	XP_006006113.1
3085	XP_006006115.1
3086	XP_006006116.1
3087	XP_006006128.1
3088	XP_006006129.1
3089	XP_006006153.1
3090	XP_006006154.2
3091	XP_006006160.1
3092	XP_006006171.1
3093	XP_006006174.1
3094	XP_006006180.1
3095	XP_006006183.1
3096	XP_006006187.1
3097	XP_006006190.1
3098	XP_006006194.1
3099	XP_006006197.1
3100	XP_006006205.1
3101	XP_006006210.1
3102	XP_006006211.1
3103	XP_006006219.2
3104	XP_006006233.1
3105	XP_006006250.1
3106	XP_006006251.1
3107	XP_006006254.1
3108	XP_006006261.2
3109	XP_006006283.1
3110	XP_006006302.1
3111	XP_006006318.2
3112	XP_006006323.1
3113	XP_006006334.1
3114	XP_006006342.1
3115	XP_006006347.1
3116	XP_006006350.1
3117	XP_006006356.1
3118	XP_006006363.1
3119	XP_006006374.1
3120	XP_006006375.1
3121	XP_006006379.1
3122	XP_006006380.1
3123	XP_006006385.2
3124	XP_006006386.1
3125	XP_006006402.1
3126	XP_006006408.1
3127	XP_006006417.1
3128	XP_006006419.1
3129	XP_006006422.1
3130	XP_006006426.1
3131	XP_006006442.1
3132	XP_006006448.1
3133	XP_006006466.1
3134	XP_006006468.1
3135	XP_006006484.1
3136	XP_006006488.1
3137	XP_006006491.1
3138	XP_006006503.1
3139	XP_006006518.2
3140	XP_006006519.2
3141	XP_006006525.1
3142	XP_006006530.1
3143	XP_006006552.2
3144	XP_006006563.1
3145	XP_006006564.1
3146	XP_006006566.2
3147	XP_006006570.2
3148	XP_006006575.1
3149	XP_006006576.1
3150	XP_006006578.1
3151	XP_006006582.2
3152	XP_006006583.1
3153	XP_006006595.1
3154	XP_006006599.1
3155	XP_006006602.1
3156	XP_006006606.1
3157	XP_006006607.1
3158	XP_006006608.1
3159	XP_006006609.1
3160	XP_006006613.1
3161	XP_006006614.1
3162	XP_006006615.1
3163	XP_006006616.2
3164	XP_006006625.1
3165	XP_006006636.1
3166	XP_006006656.1
3167	XP_006006659.1
3168	XP_006006678.1
3169	XP_006006693.1
3170	XP_006006694.1
3171	XP_006006695.1
3172	XP_006006696.1
3173	XP_006006701.1
3174	XP_006006707.1
3175	XP_006006719.1
3176	XP_006006738.2
3177	XP_006006744.1
3178	XP_006006752.1
3179	XP_006006753.1
3180	XP_006006755.1
3181	XP_006006764.1
3182	XP_006006767.1
3183	XP_006006773.2
3184	XP_006006777.1
3185	XP_006006778.1
3186	XP_006006791.1
3187	XP_006006802.1
3188	XP_006006806.1
3189	XP_006006808.1
3190	XP_006006810.1
3191	XP_006006811.1
3192	XP_006006817.1
3193	XP_006006818.1
3194	XP_006006819.1
3195	XP_006006824.2
3196	XP_006006832.2
3197	XP_006006844.1
3198	XP_006006853.1
3199	XP_006006858.1
3200	XP_006006866.1
3201	XP_006006868.1
3202	XP_006006871.1
3203	XP_006006874.1
3204	XP_006006877.1
3205	XP_006006879.1
3206	XP_006006882.1
3207	XP_006006883.1
3208	XP_006006889.1
3209	XP_006006893.1
3210	XP_006006898.1
3211	XP_006006905.2
3212	XP_006006906.1
3213	XP_006006907.1
3214	XP_006006908.2
3215	XP_006006910.1
3216	XP_006006912.1
3217	XP_006006927.1
3218	XP_006006935.1
3219	XP_006006937.1
3220	XP_006006942.2
3221	XP_006006944.1
3222	XP_006006946.1
3223	XP_006006960.1
3224	XP_006006974.1
3225	XP_006006982.1
3226	XP_006006985.1
3227	XP_006006986.1
3228	XP_006006989.1
3229	XP_006006999.2
3230	XP_006007017.1
3231	XP_006007026.1
3232	XP_006007031.1
3233	XP_006007040.1
3234	XP_006007042.1
3235	XP_006007045.1
3236	XP_006007056.1
3237	XP_006007059.1
3238	XP_006007068.1
3239	XP_006007071.2
3240	XP_006007072.1
3241	XP_006007083.1
3242	XP_006007086.1
3243	XP_006007091.1
3244	XP_006007092.2
3245	XP_006007094.1
3246	XP_006007095.1
3247	XP_006007115.1
3248	XP_006007116.1
3249	XP_006007120.1
3250	XP_006007121.1
3251	XP_006007124.1
3252	XP_006007135.1
3253	XP_006007137.2
3254	XP_006007145.1
3255	XP_006007150.1
3256	XP_006007154.1
3257	XP_006007161.1
3258	XP_006007162.1
3259	XP_006007165.1
3260	XP_006007167.1
3261	XP_006007171.2
3262	XP_006007172.1
3263	XP_006007173.1
3264	XP_006007186.1
3265	XP_006007195.1
3266	XP_006007196.1
3267	XP_006007201.1
3268	XP_006007202.1
3269	XP_006007204.1
3270	XP_006007221.1
3271	XP_006007222.1
3272	XP_006007223.1
3273	XP_006007224.1
3274	XP_006007225.1
3275	XP_006007230.1
3276	XP_006007239.1
3277	XP_006007240.1
3278	XP_006007241.1
3279	XP_006007247.1
3280	XP_006007251.1
3281	XP_006007268.1
3282	XP_006007270.1
3283	XP_006007279.1
3284	XP_006007283.2
3285	XP_006007294.1
3286	XP_006007296.1
3287	XP_006007313.1
3288	XP_006007314.1
3289	XP_006007317.1
3290	XP_006007320.1
3291	XP_006007331.1
3292	XP_006007333.1
3293	XP_006007337.1
3294	XP_006007345.1
3295	XP_006007366.1
3296	XP_006007367.1
3297	XP_006007375.1
3298	XP_006007380.1
3299	XP_006007382.1
3300	XP_006007388.1
3301	XP_006007396.1
3302	XP_006007397.1
3303	XP_006007404.1
3304	XP_006007427.1
3305	XP_006007428.1
3306	XP_006007430.1
3307	XP_006007447.1
3308	XP_006007449.1
3309	XP_006007450.1
3310	XP_006007455.1
3311	XP_006007467.1
3312	XP_006007470.1
3313	XP_006007471.1
3314	XP_006007477.1
3315	XP_006007486.1
3316	XP_006007495.1
3317	XP_006007499.1
3318	XP_006007500.1
3319	XP_006007505.1
3320	XP_006007518.1
3321	XP_006007522.1
3322	XP_006007535.1
3323	XP_006007541.2
3324	XP_006007542.1
3325	XP_006007547.2
3326	XP_006007557.1
3327	XP_006007560.1
3328	XP_006007567.1
3329	XP_006007571.1
3330	XP_006007579.1
3331	XP_006007588.1
3332	XP_006007593.2
3333	XP_006007598.1
3334	XP_006007606.1
3335	XP_006007612.2
3336	XP_006007615.1
3337	XP_006007625.1
3338	XP_006007639.1
3339	XP_006007640.1
3340	XP_006007641.1
3341	XP_006007660.1
3342	XP_006007670.1
3343	XP_006007672.1
3344	XP_006007686.2
3345	XP_006007691.1
3346	XP_006007695.1
3347	XP_006007702.1
3348	XP_006007710.1
3349	XP_006007713.1
3350	XP_006007722.1
3351	XP_006007727.1
3352	XP_006007729.1
3353	XP_006007733.1
3354	XP_006007734.1
3355	XP_006007735.1
3356	XP_006007738.1
3357	XP_006007740.1
3358	XP_006007744.1
3359	XP_006007748.1
3360	XP_006007753.1
3361	XP_006007758.1
3362	XP_006007763.1
3363	XP_006007764.1
3364	XP_006007765.1
3365	XP_006007794.1
3366	XP_006007801.1
3367	XP_006007809.2
3368	XP_006007810.1
3369	XP_006007815.1
3370	XP_006007823.1
3371	XP_006007825.1
3372	XP_006007830.2
3373	XP_006007832.2
3374	XP_006007834.1
3375	XP_006007847.2
3376	XP_006007850.1
3377	XP_006007859.2
3378	XP_006007872.1
3379	XP_006007875.1
3380	XP_006007879.2
3381	XP_006007881.1
3382	XP_006007882.2
3383	XP_006007887.1
3384	XP_006007900.2
3385	XP_006007904.1
3386	XP_006007914.1
3387	XP_006007918.2
3388	XP_006007931.1
3389	XP_006007932.1
3390	XP_006007937.1
3391	XP_006007938.1
3392	XP_006007940.1
3393	XP_006007941.1
3394	XP_006007956.1
3395	XP_006007977.1
3396	XP_006007988.1
3397	XP_006007997.1
3398	XP_006008000.1
3399	XP_006008009.1
3400	XP_006008018.1
3401	XP_006008019.1
3402	XP_006008023.1
3403	XP_006008033.2
3404	XP_006008034.1
3405	XP_006008042.1
3406	XP_006008052.2
3407	XP_006008053.2
3408	XP_006008056.1
3409	XP_006008063.2
3410	XP_006008076.2
3411	XP_006008096.1
3412	XP_006008099.1
3413	XP_006008119.1
3414	XP_006008129.1
3415	XP_006008136.1
3416	XP_006008140.1
3417	XP_006008142.1
3418	XP_006008144.1
3419	XP_006008147.1
3420	XP_006008155.1
3421	XP_006008177.2
3422	XP_006008184.1
3423	XP_006008185.1
3424	XP_006008190.1
3425	XP_006008191.1
3426	XP_006008202.1
3427	XP_006008206.1
3428	XP_006008217.1
3429	XP_006008220.1
3430	XP_006008223.1
3431	XP_006008224.1
3432	XP_006008229.1
3433	XP_006008263.1
3434	XP_006008271.1
3435	XP_006008294.1
3436	XP_006008302.1
3437	XP_006008304.1
3438	XP_006008317.1
3439	XP_006008327.1
3440	XP_006008347.1
3441	XP_006008379.1
3442	XP_006008383.1
3443	XP_006008391.1
3444	XP_006008392.2
3445	XP_006008397.2
3446	XP_006008400.1
3447	XP_006008409.2
3448	XP_006008414.1
3449	XP_006008418.2
3450	XP_006008428.2
3451	XP_006008429.2
3452	XP_006008436.1
3453	XP_006008443.2
3454	XP_006008452.1
3455	XP_006008455.1
3456	XP_006008456.1
3457	XP_006008457.1
3458	XP_006008474.1
3459	XP_006008481.1
3460	XP_006008493.1
3461	XP_006008494.1
3462	XP_006008500.1
3463	XP_006008510.1
3464	XP_006008524.1
3465	XP_006008525.1
3466	XP_006008528.1
3467	XP_006008529.1
3468	XP_006008535.1
3469	XP_006008555.2
3470	XP_006008566.1
3471	XP_006008582.1
3472	XP_006008586.1
3473	XP_006008593.1
3474	XP_006008595.1
3475	XP_006008630.2
3476	XP_006008631.1
3477	XP_006008634.1
3478	XP_006008636.1
3479	XP_006008654.1
3480	XP_006008658.2
3481	XP_006008659.1
3482	XP_006008663.1
3483	XP_006008665.1
3484	XP_006008668.1
3485	XP_006008679.1
3486	XP_006008681.1
