	Gene1 (Latimeria)	Score1	Gene2 (Danio)	Score2
2875	XP_005994094.1	121 	NP_001292500.1	121 
2876	XP_005994095.1	213 	XP_005159406.1	231 
2877	XP_005994096.1	633 	XP_005159410.1	641 
2878	XP_005994098.1	132 	NP_001268852.1	133 
2879	XP_005994100.1	395 	NP_571157.1	403 
2880	XP_005994111.1	162 	NP_001002124.1	162 
2881	XP_005994119.1	160 	NP_001025290.2	160 
2882	XP_005994120.1	593 	XP_021324202.1	592 
2883	XP_005994121.1	419 	NP_001020348.1	419 
2884	XP_005994123.1	478 	NP_001103989.1	492 
2885	XP_005994124.1	688 	XP_005163682.1	434 
2886	XP_005994129.1	412 	NP_958459.1	412 
2887	XP_005994130.1	318 	NP_001278286.1	318 
2888	XP_005994134.1	507 	NP_878283.1	518 
2889	XP_005994142.2	680 	NP_001082941.1	694 
2890	XP_005994143.1	256 	XP_005173679.1	243 
2891	XP_005994144.1	214 	XP_021323386.1	232 
2892	XP_005994146.1	787 	NP_001071067.1	787 
2893	XP_005994149.1	699 	NP_571954.1	699 
2894	XP_005994153.1	708 	NP_001018136.2	714 
2895	XP_005994154.1	713 	NP_001071043.2	710 
2896	XP_005994157.1	847 	XP_009301749.1	847 
2897	XP_005994159.1	783 	XP_005166657.2	782 
2898	XP_005994160.1	92.4	XP_002666801.2	99.4
2899	XP_005994162.1	263 	NP_001013473.1	263 
2900	XP_005994167.1	627 	XP_009296040.1	653 
2901	XP_005994171.1	400 	NP_997915.1	400 
2902	XP_005994174.1	771 	XP_009300339.1	771 
2903	XP_005994175.1	106 	NP_001315017.1	98.6
2904	XP_005994176.1	704 	XP_005164275.1	704 
2905	XP_005994177.1	701 	XP_005164277.1	701 
2906	XP_005994179.1	677 	NP_571524.1	677 
2907	XP_005994181.1	548 	XP_009301272.1	533 
2908	XP_005994185.1	325 	XP_009302113.1	343 
2909	XP_005994187.1	143 	XP_002662282.2	150 
2910	XP_005994188.1	488 	NP_956750.1	488 
2911	XP_005994190.2	208 	NP_001036799.1	181 
2912	XP_005994191.1	448 	NP_001070837.2	450 
2913	XP_005994193.1	145 	XP_021331521.1	145 
2914	XP_005994195.1	1038	XP_005165806.2	1050
2915	XP_005994199.1	298 	XP_682800.2	607 
2916	XP_005994200.1	391 	NP_001003739.1	400 
2917	XP_005994205.1	201 	XP_001345133.4	180 
2918	XP_005994207.1	808 	XP_005163877.1	763 
2919	XP_005994210.1	744 	XP_009297564.1	697 
2920	XP_005994213.1	737 	XP_009297566.1	704 
2921	XP_005994215.1	224 	NP_001082957.1	228 
2922	XP_005994217.1	887 	XP_017212134.1	889 
2923	XP_005994221.1	101 	NP_998134.1	101 
2924	XP_005994222.1	179 	XP_009300346.1	191 
2925	XP_005994224.1	1034	XP_009298019.1	1040
2926	XP_005994225.1	136 	NP_001019611.1	136 
2927	XP_005994228.1	493 	XP_021326843.1	481 
2928	XP_005994229.1	394 	XP_021325990.1	377 
2929	XP_005994231.1	230 	NP_001018397.1	229 
2930	XP_005994234.1	276 	NP_001074109.1	276 
2931	XP_005994236.1	212 	NP_956702.2	216 
2932	XP_005994242.1	435 	NP_957304.1	449 
2933	XP_005994245.1	278 	NP_001077039.1	284 
2934	XP_005994247.1	315 	NP_001005938.1	315 
2935	XP_005994253.1	159 	NP_001014316.1	159 
2936	XP_005994255.1	204 	XP_003201700.1	305 
2937	XP_005994258.1	606 	XP_696166.2	665 
2938	XP_005994262.1	527 	XP_696106.3	526 
2939	XP_005994264.1	175 	XP_021333940.1	186 
2940	XP_005994266.1	548 	XP_005167334.1	548 
2941	XP_005994269.1	929 	XP_021335343.1	913 
2942	XP_005994274.1	972 	XP_009302535.1	973 
2943	XP_005994278.1	897 	NP_001103170.1	863 
2944	XP_005994279.1	882 	NP_956362.1	850 
2945	XP_005994280.1	647 	NP_001002207.1	647 
2946	XP_005994282.1	369 	NP_997979.2	360 
2947	XP_005994284.2	609 	NP_001164290.1	586 
2948	XP_005994293.2	131 	XP_021322750.1	141 
2949	XP_005994296.2	1549	XP_009298326.1	1586
2950	XP_005994300.1	442 	XP_017209581.1	436 
2951	XP_005994301.1	1798	XP_009298559.1	1798
2952	XP_005994304.1	548 	NP_001038306.1	573 
2953	XP_005994309.1	206 	XP_017208538.1	206 
2954	XP_005994310.2	743 	NP_001038336.2	739 
2955	XP_005994312.1	285 	NP_858049.1	288 
2956	XP_005994316.1	839 	XP_021323335.1	842 
2957	XP_005994318.1	164 	NP_001313529.1	162 
2958	XP_005994319.1	289 	NP_001070063.1	289 
2959	XP_005994320.2	108 	NP_001001724.1	129 
2960	XP_005994322.1	363 	NP_956934.1	336 
2961	XP_005994326.1	391 	XP_686479.1	391 
2962	XP_005994327.1	890 	NP_001313320.1	899 
2963	XP_005994329.1	213 	NP_001003838.1	213 
2964	XP_005994330.1	1460	XP_005161754.1	1460
2965	XP_005994331.2	887 	XP_009302779.1	877 
2966	XP_005994334.1	59.3	XP_002665541.1	59.3
2967	XP_005994347.1	593 	NP_001315521.1	571 
2968	XP_005994348.1	780 	XP_686012.3	785 
2969	XP_005994354.1	1243	XP_696830.5	1226
2970	XP_005994359.2	567 	NP_957454.1	567 
2971	XP_005994364.1	394 	XP_021322355.1	418 
2972	XP_005994366.1	627 	XP_009292463.1	665 
2973	XP_005994368.1	728 	NP_954972.1	728 
2974	XP_005994370.1	775 	XP_699642.6	769 
2975	XP_005994373.1	983 	XP_021332414.1	983 
2976	XP_005994375.1	271 	NP_001017609.1	271 
2977	XP_005994378.1	162 	NP_957010.1	162 
2978	XP_005994380.1	76.6	NP_001136055.2	76.6
2979	XP_005994384.1	719 	XP_021330046.1	734 
2980	XP_005994385.1	687 	XP_002665109.4	700 
2981	XP_005994390.1	1396	NP_001008582.4	1398
2982	XP_005994394.1	3110	XP_021330116.1	3045
2983	XP_005994397.1	667 	XP_017209563.1	678 
2984	XP_005994402.1	323 	NP_001108192.1	328 
2985	XP_005994404.1	333 	NP_001002200.2	333 
2986	XP_005994405.1	339 	XP_005161171.1	320 
2987	XP_005994406.1	115 	NP_001124069.1	115 
2988	XP_005994407.2	307 	XP_021332139.1	307 
2989	XP_005994408.1	353 	XP_689297.6	336 
2990	XP_005994410.1	390 	NP_001005597.1	390 
2991	XP_005994413.1	482 	XP_009300314.1	491 
2992	XP_005994416.1	340 	XP_017211556.1	344 
2993	XP_005994419.1	377 	XP_005161160.1	360 
2994	XP_005994421.1	587 	NP_001107094.1	572 
2995	XP_005994424.1	335 	XP_005161979.1	330 
2996	XP_005994433.1	523 	NP_001002221.1	523 
2997	XP_005994440.2	644 	XP_005161982.2	658 
2998	XP_005994453.1	328 	XP_021326482.1	311 
2999	XP_005994463.1	778 	XP_692981.4	803 
3000	XP_005994469.1	374 	NP_571226.1	374 
3001	XP_005994478.1	157 	XP_021334838.1	155 
3002	XP_005994482.1	488 	XP_021333818.1	485 
3003	XP_005994488.1	789 	XP_005171367.1	782 
3004	XP_005994492.1	513 	XP_021329491.1	509 
3005	XP_005994495.1	1180	XP_001922208.2	1176
3006	XP_005994504.1	142 	NP_001070194.1	142 
3007	XP_005994505.1	354 	NP_957412.2	360 
3008	XP_005994506.1	222 	NP_852472.1	222 
3009	XP_005994509.1	652 	XP_021331973.1	665 
3010	XP_005994513.1	1950	XP_692276.5	1955
3011	XP_005994514.1	191 	NP_001018603.1	191 
3012	XP_005994518.1	311 	NP_898892.1	311 
3013	XP_005994521.1	302 	NP_963878.3	302 
3014	XP_005994522.1	214 	NP_991280.2	214 
3015	XP_005994524.1	120 	NP_001004005.1	120 
3016	XP_005994525.1	870 	NP_956049.1	842 
3017	XP_005994533.1	306 	NP_001313364.1	331 
3018	XP_005994535.1	593 	NP_001017645.1	593 
3019	XP_005994536.1	206 	NP_957095.1	193 
3020	XP_005994545.1	235 	NP_001017650.2	234 
3021	XP_005994546.1	200 	XP_695872.3	200 
3022	XP_005994548.1	380 	NP_001108386.1	380 
3023	XP_005994553.1	405 	XP_009303010.1	405 
3024	XP_005994554.1	455 	NP_001012382.1	455 
3025	XP_005994555.1	559 	NP_001019243.1	552 
3026	XP_005994556.1	326 	NP_956652.1	342 
3027	XP_005994557.2	700 	NP_957225.1	706 
3028	XP_005994560.1	1179	NP_001171405.1	1187
3029	XP_005994562.1	573 	NP_001003763.1	566 
3030	XP_005994568.1	301 	NP_001017816.1	323 
3031	XP_005994571.1	272 	NP_957011.1	286 
3032	XP_005994574.1	362 	NP_001013493.2	339 
3033	XP_005994587.1	1040	NP_001015064.1	1050
3034	XP_005994588.1	835 	NP_571790.1	835 
3035	XP_005994590.1	1162	XP_005158652.1	1161
3036	XP_005994591.1	483 	XP_021326749.1	483 
3037	XP_005994593.1	270 	NP_001007188.1	248 
3038	XP_005994594.1	301 	NP_001013345.1	301 
3039	XP_005994595.1	395 	NP_001092251.1	395 
3040	XP_005994599.1	751 	NP_001304099.1	720 
3041	XP_005994600.1	610 	XP_693895.2	610 
3042	XP_005994601.1	1006	XP_021336128.1	1017
3043	XP_005994603.1	468 	XP_693338.2	471 
3044	XP_005994604.1	654 	NP_001304682.1	668 
3045	XP_005994609.1	2001	XP_021322297.1	1997
3046	XP_005994610.1	608 	NP_001004611.1	621 
3047	XP_005994614.1	310 	NP_001018370.1	310 
3048	XP_005994616.1	2231	XP_009290437.1	2269
3049	XP_005994618.1	2192	XP_009290439.1	2190
3050	XP_005994621.1	773 	NP_001002175.1	759 
3051	XP_005994628.1	413 	NP_956497.2	413 
3052	XP_005994630.1	210 	NP_001138278.1	210 
3053	XP_005994632.1	251 	NP_001070196.1	257 
3054	XP_005994634.1	233 	XP_021322345.1	233 
3055	XP_005994640.1	1043	NP_001180256.1	1123
3056	XP_005994644.1	1236	NP_001128580.1	1236
3057	XP_005994649.1	205 	NP_001091859.1	187 
3058	XP_005994658.1	426 	XP_002661254.1	441 
3059	XP_005994666.1	717 	NP_001004551.1	691 
3060	XP_005994668.1	277 	NP_001303900.1	277 
3061	XP_005994672.1	516 	NP_001004536.1	516 
3062	XP_005994680.1	653 	XP_021325314.1	653 
3063	XP_005994690.1	296 	NP_001020354.1	293 
3064	XP_005994691.1	731 	XP_696283.4	718 
3065	XP_005994693.1	1301	XP_005171623.1	1315
3066	XP_005994697.1	734 	XP_696346.3	734 
3067	XP_005994699.1	542 	XP_005164113.1	542 
3068	XP_005994703.1	696 	NP_571453.1	696 
3069	XP_005994714.1	124 	NP_001070073.1	127 
3070	XP_005994715.2	487 	NP_001017834.1	493 
3071	XP_005994721.1	967 	NP_001082878.1	949 
3072	XP_005994726.1	820 	XP_005156463.1	801 
3073	XP_005994731.1	1079	NP_957168.1	1059
3074	XP_005994737.1	977 	NP_571784.1	634 
3075	XP_005994758.1	1678	XP_005171465.1	1678
3076	XP_005994760.1	1159	XP_017213319.1	1180
3077	XP_005994762.1	266 	XP_005173113.1	264 
3078	XP_005994763.1	242 	NP_997988.1	242 
3079	XP_005994764.1	364 	NP_001082991.1	364 
3080	XP_005994767.1	732 	XP_021336972.1	734 
3081	XP_005994772.1	624 	NP_001106903.1	624 
3082	XP_005994773.1	988 	XP_696748.4	988 
3083	XP_005994776.1	718 	XP_001920308.3	690 
3084	XP_005994779.1	506 	NP_001017674.1	506 
3085	XP_005994784.1	114 	NP_001071004.1	124 
3086	XP_005994785.1	406 	XP_005157182.1	409 
3087	XP_005994787.1	379 	XP_005157192.1	369 
3088	XP_005994789.1	158 	NP_001003888.1	158 
3089	XP_005994792.1	547 	NP_001073527.1	561 
3090	XP_005994796.1	628 	XP_682831.3	628 
3091	XP_005994797.1	739 	NP_001028279.2	765 
3092	XP_005994799.1	664 	NP_999857.1	664 
3093	XP_005994805.1	602 	NP_001002700.1	603 
3094	XP_005994809.1	375 	NP_001002561.1	375 
3095	XP_005994815.1	303 	NP_001007218.1	309 
3096	XP_005994818.1	310 	NP_001004661.1	310 
3097	XP_005994819.1	530 	NP_001004645.1	518 
3098	XP_005994829.1	674 	NP_001307317.1	674 
3099	XP_005994835.2	771 	NP_001007301.1	791 
3100	XP_005994840.1	179 	XP_005160934.1	179 
3101	XP_005994842.1	1406	XP_005166320.1	1374
3102	XP_005994843.1	672 	XP_021332861.1	667 
3103	XP_005994846.1	288 	NP_956256.1	288 
3104	XP_005994849.1	764 	XP_005166831.1	764 
3105	XP_005994852.1	183 	XP_005166318.1	182 
3106	XP_005994854.1	842 	NP_001020717.1	831 
3107	XP_005994862.1	392 	NP_001002387.1	400 
3108	XP_005994864.1	359 	XP_005160375.1	359 
3109	XP_005994866.1	1091	NP_570993.2	1091
3110	XP_005994867.1	657 	XP_684019.2	657 
3111	XP_005994874.1	194 	XP_005171461.1	194 
3112	XP_005994879.1	1455	XP_021325932.1	1455
3113	XP_005994883.1	1603	XP_017209426.2	1637
3114	XP_005994893.1	322 	XP_021325935.1	315 
3115	XP_005994894.1	232 	NP_001189346.1	205 
3116	XP_005994896.1	237 	NP_001017559.1	237 
3117	XP_005994897.1	1326	XP_009305061.1	1347
3118	XP_005994898.1	1322	XP_009305062.1	1343
3119	XP_005994899.1	287 	XP_021336623.1	288 
3120	XP_005994913.1	103 	NP_001035133.1	82.8
3121	XP_005994917.1	494 	NP_001314728.1	488 
3122	XP_005994919.2	382 	NP_001070759.2	381 
3123	XP_005994930.1	411 	XP_005162737.1	411 
3124	XP_005994933.1	1197	XP_021325991.1	1197
3125	XP_005994936.2	826 	NP_571456.1	831 
3126	XP_005994937.1	486 	XP_685872.2	500 
3127	XP_005994938.1	162 	NP_998198.1	162 
3128	XP_005994939.2	814 	NP_694498.2	814 
3129	XP_005994952.1	836 	NP_001035480.1	836 
3130	XP_005994953.1	817 	XP_005173191.1	817 
3131	XP_005994957.1	475 	NP_571083.4	475 
3132	XP_005994961.1	367 	NP_998713.1	349 
3133	XP_005994964.1	714 	NP_001116327.1	746 
3134	XP_005994965.1	495 	NP_955988.1	474 
3135	XP_005994967.1	407 	NP_956577.2	412 
3136	XP_005994968.1	313 	NP_001307104.1	313 
3137	XP_005994971.2	1635	XP_001923457.2	1627
3138	XP_005994974.1	1373	XP_698084.4	1418
3139	XP_005994976.1	642 	XP_686027.4	647 
3140	XP_005994981.1	659 	XP_005172341.1	650 
3141	XP_005994982.1	711 	XP_688359.3	719 
3142	XP_005994983.1	377 	NP_001017840.2	377 
3143	XP_005994986.1	829 	XP_005173310.1	826 
3144	XP_005994988.1	307 	NP_001188392.1	296 
3145	XP_005994991.1	917 	XP_021336705.1	907 
3146	XP_005994992.1	449 	NP_001333206.1	421 
3147	XP_005994997.1	837 	NP_956688.1	837 
3148	XP_005994998.1	407 	NP_001092211.1	407 
3149	XP_005995000.1	1788	XP_005165214.1	1801
3150	XP_005995006.1	495 	XP_021333461.1	484 
3151	XP_005995007.1	357 	NP_571184.2	357 
3152	XP_005995017.2	4707	NP_001313616.1	4646
3153	XP_005995023.1	447 	NP_001038570.1	451 
3154	XP_005995028.1	967 	XP_005159997.1	967 
3155	XP_005995035.1	117 	NP_998118.1	117 
3156	XP_005995036.1	171 	NP_001028272.1	275 
3157	XP_005995038.1	166 	XP_021336373.1	167 
3158	XP_005995040.2	208 	XP_021326670.1	207 
3159	XP_005995044.1	160 	XP_021322922.1	160 
3160	XP_005995050.1	568 	XP_021328690.1	551 
3161	XP_005995057.1	510 	NP_001002212.1	498 
3162	XP_005995060.1	332 	XP_005173637.1	317 
3163	XP_005995063.1	664 	NP_001004527.2	664 
3164	XP_005995064.1	335 	NP_001314862.1	337 
3165	XP_005995072.1	179 	XP_003200429.2	434 
3166	XP_005995074.2	278 	NP_001017777.1	278 
3167	XP_005995075.2	285 	NP_001006091.1	282 
3168	XP_005995083.1	1958	NP_571938.2	1958
3169	XP_005995086.1	894 	XP_009305723.1	947 
3170	XP_005995087.1	845 	XP_005168263.1	845 
3171	XP_005995088.1	871 	NP_001003562.1	871 
3172	XP_005995090.1	654 	NP_001012376.1	639 
3173	XP_005995099.1	733 	NP_001038569.1	733 
3174	XP_005995102.1	386 	NP_001077049.1	382 
3175	XP_005995103.1	1273	NP_001103817.1	1300
3176	XP_005995107.2	399 	XP_005166173.1	391 
3177	XP_005995110.1	558 	NP_001018496.1	558 
3178	XP_005995113.1	904 	XP_690522.3	892 
3179	XP_005995114.1	734 	NP_705951.1	769 
3180	XP_005995121.1	342 	NP_001295577.1	328 
3181	XP_005995123.1	354 	NP_001004672.1	353 
3182	XP_005995125.1	147 	XP_009296601.2	164 
3183	XP_005995126.1	1139	XP_687184.4	1147
3184	XP_005995133.1	319 	NP_001017873.2	319 
3185	XP_005995134.1	85.5	XP_021333550.1	57.0
3186	XP_005995135.1	1606	XP_017209705.1	1605
3187	XP_005995136.1	872 	NP_956533.1	858 
3188	XP_005995137.1	778 	NP_956662.1	774 
3189	XP_005995138.1	228 	NP_001092725.1	228 
3190	XP_005995139.1	2047	XP_009292819.1	1979
3191	XP_005995143.1	711 	XP_005160408.1	730 
3192	XP_005995145.1	682 	XP_005160409.1	701 
3193	XP_005995155.1	266 	NP_001017742.2	266 
3194	XP_005995158.1	458 	XP_005163709.1	462 
3195	XP_005995160.1	157 	NP_001014327.1	157 
3196	XP_005995164.1	283 	XP_009293790.1	281 
3197	XP_005995165.1	819 	XP_021336784.1	819 
3198	XP_005995168.1	2810	NP_001139179.1	2821
3199	XP_005995180.1	1033	XP_005156425.1	1020
3200	XP_005995181.1	1012	XP_021336492.1	1007
3201	XP_005995187.1	166 	NP_001243581.1	166 
3202	XP_005995191.1	518 	NP_991238.1	525 
3203	XP_005995193.1	2816	XP_009305378.1	2903
3204	XP_005995194.1	2811	XP_009305381.1	2897
3205	XP_005995195.1	2824	XP_009305382.1	2911
3206	XP_005995196.1	374 	NP_001315146.1	374 
3207	XP_005995203.1	1016	NP_001082825.1	1023
3208	XP_005995211.1	826 	NP_001017766.2	826 
3209	XP_005995214.1	1210	XP_009303667.1	1189
3210	XP_005995217.1	1086	XP_009303662.1	1064
3211	XP_005995223.1	657 	XP_009303758.1	612 
3212	XP_005995231.1	450 	NP_001003503.1	440 
3213	XP_005995234.1	255 	NP_957092.2	266 
3214	XP_005995237.1	258 	NP_956600.1	258 
3215	XP_005995240.1	115 	NP_956053.1	138 
3216	XP_005995241.1	1047	XP_003199339.4	1047
3217	XP_005995242.1	717 	NP_001277009.1	717 
3218	XP_005995244.1	251 	NP_705930.1	251 
3219	XP_005995245.1	221 	XP_017211539.1	221 
3220	XP_005995246.1	199 	XP_005167388.1	199 
3221	XP_005995247.2	783 	XP_003199529.3	818 
3222	XP_005995248.1	1056	XP_021332085.1	1047
3223	XP_005995249.1	1035	XP_009299521.1	1028
3224	XP_005995250.1	555 	XP_005167394.1	542 
3225	XP_005995251.1	211 	NP_001002163.1	194 
3226	XP_005995252.1	132 	XP_017212885.1	142 
3227	XP_005995260.1	1371	XP_021331661.1	1372
3228	XP_005995262.1	285 	NP_001338730.1	286 
3229	XP_005995265.1	152 	XP_687281.4	132 
3230	XP_005995266.1	1021	NP_001074040.1	1021
3231	XP_005995267.1	460 	XP_005170200.1	460 
3232	XP_005995268.1	723 	XP_009295943.1	723 
3233	XP_005995271.1	134 	NP_571594.1	134 
3234	XP_005995272.1	1849	XP_021323923.1	1883
3235	XP_005995275.1	790 	XP_021332593.1	778 
3236	XP_005995276.1	788 	NP_001034726.1	776 
3237	XP_005995278.2	612 	NP_571922.2	595 
3238	XP_005995281.1	546 	XP_021329266.1	555 
3239	XP_005995282.1	259 	NP_001002517.1	259 
3240	XP_005995283.1	866 	NP_998632.1	866 
3241	XP_005995284.1	843 	XP_005155859.1	843 
3242	XP_005995288.1	1236	XP_021335270.1	1208
3243	XP_005995291.1	795 	XP_021335448.1	803 
3244	XP_005995293.1	98.2	XP_017211919.1	83.6
3245	XP_005995295.1	206 	XP_009304221.1	206 
3246	XP_005995296.1	485 	XP_693326.5	485 
3247	XP_005995297.1	442 	NP_571114.1	442 
3248	XP_005995298.1	440 	NP_957075.1	437 
3249	XP_005995304.1	354 	NP_956581.1	358 
3250	XP_005995306.1	426 	XP_001341514.7	419 
3251	XP_005995311.1	1115	NP_835740.2	1115
3252	XP_005995312.1	1438	XP_021322474.1	1444
3253	XP_005995315.2	165 	XP_694444.6	165 
3254	XP_005995316.1	518 	NP_998188.2	518 
3255	XP_005995318.1	829 	XP_005174000.1	984 
3256	XP_005995319.1	806 	NP_991189.1	962 
3257	XP_005995320.1	189 	NP_957126.1	189 
3258	XP_005995321.1	435 	NP_001124290.1	435 
3259	XP_005995322.1	519 	XP_001334671.1	519 
3260	XP_005995323.1	594 	NP_001014348.1	608 
3261	XP_005995324.1	577 	XP_005167753.1	590 
3262	XP_005995325.1	551 	XP_021334660.1	566 
3263	XP_005995332.1	2207	XP_009293751.1	2169
3264	XP_005995334.1	455 	NP_996944.2	479 
3265	XP_005995337.1	376 	NP_001002364.1	376 
3266	XP_005995338.1	381 	XP_005170739.1	381 
3267	XP_005995339.1	369 	XP_005170738.1	369 
3268	XP_005995340.1	369 	XP_005170740.1	369 
3269	XP_005995342.1	633 	XP_005170737.1	594 
3270	XP_005995347.1	535 	NP_955981.1	535 
3271	XP_005995352.2	691 	NP_001012514.1	691 
3272	XP_005995353.1	919 	NP_997976.1	917 
3273	XP_005995354.1	881 	NP_957260.1	881 
3274	XP_005995355.1	857 	NP_958881.1	879 
3275	XP_005995359.1	650 	XP_021330655.1	635 
3276	XP_005995368.1	1267	XP_692965.5	1301
3277	XP_005995369.1	1215	XP_005164967.1	1249
3278	XP_005995371.1	368 	NP_001003444.1	368 
3279	XP_005995376.1	2251	XP_697655.4	2251
3280	XP_005995377.2	359 	NP_001122159.1	359 
3281	XP_005995379.1	1161	NP_001315118.1	1185
3282	XP_005995381.1	386 	NP_571806.1	386 
3283	XP_005995385.1	887 	NP_001019372.1	881 
3284	XP_005995391.1	845 	NP_957284.1	845 
3285	XP_005995392.1	404 	XP_005157273.2	429 
3286	XP_005995397.1	808 	XP_009306088.1	813 
3287	XP_005995400.1	972 	XP_683010.6	964 
3288	XP_005995404.1	242 	NP_001073555.1	237 
3289	XP_005995405.1	395 	NP_001299842.1	406 
3290	XP_005995409.1	453 	XP_001337454.1	453 
3291	XP_005995429.1	416 	XP_005173612.1	416 
3292	XP_005995430.1	329 	NP_001017694.1	332 
3293	XP_005995436.1	1127	NP_001313624.1	1160
3294	XP_005995445.1	432 	NP_001038711.1	437 
3295	XP_005995450.1	140 	XP_021335232.1	140 
3296	XP_005995455.1	810 	XP_689302.5	866 
3297	XP_005995456.1	814 	XP_005172143.1	869 
3298	XP_005995457.1	434 	XP_021332658.1	434 
3299	XP_005995461.1	991 	NP_571214.1	991 
3300	XP_005995463.1	798 	NP_001009889.2	843 
3301	XP_005995464.1	167 	NP_998324.1	167 
3302	XP_005995466.1	1239	NP_001034896.1	1271
3303	XP_005995468.1	556 	XP_021332472.1	566 
3304	XP_005995487.1	527 	NP_001070859.1	527 
3305	XP_005995492.1	292 	NP_001008613.1	292 
3306	XP_005995497.1	387 	XP_017213895.1	387 
3307	XP_005995499.1	785 	NP_001074138.1	776 
3308	XP_005995503.1	268 	XP_002666146.1	283 
3309	XP_005995505.1	380 	NP_001186949.1	380 
3310	XP_005995507.1	269 	NP_001070763.1	269 
3311	XP_005995509.1	167 	XP_021325569.1	167 
3312	XP_005995510.1	149 	XP_021325568.1	149 
3313	XP_005995519.1	202 	NP_001018591.1	204 
3314	XP_005995520.1	263 	NP_001161935.1	263 
3315	XP_005995524.1	190 	NP_957052.1	190 
3316	XP_005995530.1	583 	NP_878312.1	573 
3317	XP_005995532.1	140 	XP_005162473.1	139 
3318	XP_005995533.1	96.7	XP_686623.8	108 
3319	XP_005995536.1	484 	XP_696192.2	483 
3320	XP_005995540.1	764 	XP_687041.2	773 
3321	XP_005995541.1	556 	NP_001082908.1	552 
3322	XP_005995543.1	2163	XP_021325972.1	1697
3323	XP_005995554.1	162 	XP_005168352.1	162 
3324	XP_005995556.1	1154	NP_001002746.1	1176
3325	XP_005995557.1	758 	NP_571633.1	803 
3326	XP_005995558.1	787 	NP_991290.1	801 
3327	XP_005995560.1	498 	NP_001032493.2	498 
3328	XP_005995564.2	1623	XP_005168036.1	1634
3329	XP_005995565.1	57.8	NP_001096095.2	57.8
3330	XP_005995567.1	682 	NP_001018344.2	680 
3331	XP_005995571.2	291 	XP_005169788.1	278 
3332	XP_005995572.1	567 	XP_021323918.1	555 
3333	XP_005995573.2	413 	NP_956650.1	410 
3334	XP_005995577.1	596 	NP_998297.1	596 
3335	XP_005995580.1	509 	XP_005165325.1	509 
3336	XP_005995581.1	270 	XP_005167236.1	256 
3337	XP_005995582.1	1318	XP_017211590.1	1334
3338	XP_005995583.1	684 	XP_689990.2	733 
3339	XP_005995585.1	566 	XP_005170711.1	568 
3340	XP_005995587.2	220 	NP_001315494.1	221 
3341	XP_005995598.1	162 	XP_005160025.1	162 
3342	XP_005995604.1	558 	XP_017210786.1	558 
3343	XP_005995608.1	809 	XP_005160022.1	835 
3344	XP_005995612.1	286 	NP_001254626.1	286 
3345	XP_005995616.1	3773	XP_009299667.1	3803
3346	XP_005995620.1	331 	NP_919377.2	331 
3347	XP_005995621.1	149 	XP_021336965.1	149 
3348	XP_005995624.1	552 	XP_009291365.3	561 
3349	XP_005995627.1	153 	XP_005173844.1	159 
3350	XP_005995631.1	160 	NP_775376.1	160 
3351	XP_005995636.1	167 	NP_001018469.1	167 
3352	XP_005995637.1	864 	XP_005159717.1	870 
3353	XP_005995638.1	152 	XP_005158556.1	165 
3354	XP_005995639.1	392 	XP_021323690.1	392 
3355	XP_005995642.1	868 	XP_021323679.1	860 
3356	XP_005995643.1	128 	XP_003200663.1	142 
3357	XP_005995645.2	273 	NP_001017687.1	273 
3358	XP_005995649.1	72.0	NP_998388.1	92.8
3359	XP_005995651.1	475 	NP_001038436.1	495 
3360	XP_005995662.1	1477	XP_009303149.2	1479
3361	XP_005995665.1	377 	XP_021332416.1	391 
3362	XP_005995666.2	339 	NP_571583.1	339 
3363	XP_005995668.1	255 	NP_778208.1	266 
3364	XP_005995674.1	358 	NP_571198.1	365 
3365	XP_005995675.1	243 	NP_571219.2	226 
3366	XP_005995676.1	356 	NP_571197.1	354 
3367	XP_005995680.2	183 	XP_017213755.1	183 
3368	XP_005995681.1	411 	NP_001005771.1	412 
3369	XP_005995682.1	400 	NP_571603.3	400 
3370	XP_005995685.1	492 	NP_571240.1	481 
3371	XP_005995686.1	408 	NP_001104229.1	424 
3372	XP_005995687.1	580 	NP_571618.1	560 
3373	XP_005995690.1	333 	XP_002666953.2	346 
3374	XP_005995691.1	564 	NP_001165890.1	582 
3375	XP_005995693.2	410 	NP_001025277.1	423 
3376	XP_005995696.1	638 	XP_005163214.1	637 
3377	XP_005995697.1	640 	NP_571045.1	640 
3378	XP_005995698.1	1900	XP_005163211.4	1907
3379	XP_005995703.1	436 	NP_001038681.1	424 
3380	XP_005995704.1	442 	NP_001020709.1	434 
3381	XP_005995706.1	322 	NP_001017865.1	322 
3382	XP_005995709.1	483 	NP_001119890.1	483 
3383	XP_005995712.1	355 	NP_001002521.1	355 
3384	XP_005995715.1	1067	XP_005159353.1	1032
3385	XP_005995722.1	666 	XP_021330102.1	669 
3386	XP_005995724.1	689 	XP_021326213.1	673 
3387	XP_005995725.1	411 	NP_001076393.1	411 
3388	XP_005995729.1	57.0	XP_005170824.1	35.0
3389	XP_005995730.1	338 	XP_005169820.1	338 
3390	XP_005995733.1	180 	XP_003200235.2	180 
3391	XP_005995736.2	352 	XP_017206922.1	348 
3392	XP_005995754.1	854 	XP_021322342.1	843 
3393	XP_005995767.1	406 	XP_001335097.5	411 
3394	XP_005995768.1	348 	NP_571101.1	347 
3395	XP_005995771.1	656 	NP_001004569.1	656 
